TipoFamilia,Sucursal,Descripción_Canal,AÑO,MES,Nombre_Empl,Apellido_Empl,TotalVentas
INFORMATICA,Palermo 2,OnLine,2020,9,Juan,Arango,2103486.0
AUDIO,Rosario1,OnLine,2020,9,José,Vallejo,853974.0
ESTUCHERIA,La Plata,OnLine,2020,9,Leonardo,Uribe,448182.0
"",Córdoba Centro,OnLine,2020,9,Elena,Arroyave,334500.0
INFORMATICA,Caseros,OnLine,2020,9,Marcela,De santis,327448.0
ESTUCHERIA,Alberdi,Telefónica,2020,9,Evelyn,Diaz,236400.0
ESTUCHERIA,Mendoza1,OnLine,2020,9,Manuel,Rojas,231800.0
"",Rosario1,OnLine,2020,9,Felipe,Guerra,218100.0
IMPRESIÓN,Quilmes,OnLine,2020,9,Isabella,Simanca,154500.0
IMPRESIÓN,San Isidro,OnLine,2020,9,Alberto,Lopez,130500.0
IMPRESIÓN,Almagro,OnLine,2020,9,Melisa,Uribe,123569.0
IMPRESIÓN,Almagro,OnLine,2020,9,Carlos,Gomez,121220.0
INFORMATICA,Moron,OnLine,2020,9,Carmen,Uribe,91564.0
BASES,Córdoba Quiroz,OnLine,2020,9,Carlos,Jimenez,79600.0
IMPRESIÓN,Córdoba Quiroz,OnLine,2020,9,Gonzalo,Florez,73919.0
AUDIO,Lanus,OnLine,2020,9,Julian,Burgos,70664.0
INFORMATICA,Palermo 2,OnLine,2020,9,Federico,Arroyave,57441.78
INFORMATICA,Palermo 2,OnLine,2020,9,Virginia,Saldarriaga,57441.78
IMPRESIÓN,San Isidro,OnLine,2020,9,Sebastian,Perez,52600.0
INFORMATICA,Cerro de las Rosas,OnLine,2020,9,Carla,Betancur,39469.979999999996
INFORMATICA,Avellaneda,Presencial,2020,9,Simón,Lemus,38473.6
ESTUCHERIA,Palermo 2,OnLine,2020,9,Isabel,Salamanca,36778.0
INFORMATICA,Caballito,OnLine,2020,9,Karla,Molina,33132.66
ESTUCHERIA,Cabildo,Telefónica,2020,9,Estefania,Villegas,30000.0
ESTUCHERIA,Cabildo,Telefónica,2020,9,David,Lemus,30000.0
ESTUCHERIA,Palermo 1,Telefónica,2020,9,Elena,Perez,29780.0
INFORMATICA,Moron,OnLine,2020,9,Andrea,Carmona,28665.120000000003
GRABACION,Velez,Telefónica,2020,9,Javier,Castro,25656.399999999998
INFORMATICA,Palermo 2,OnLine,2020,9,Isabel,Salamanca,24173.16
ESTUCHERIA,Flores,OnLine,2020,9,Susana,Ruiz,22680.0
